ಕ್ರ. ಸಂ,ಪತ್ರಿಕೆಯ ಹೆಸರು,ಪ್ರಾರಂಭದ ವರ್ಷ,ಪ್ರಕಟಿಸಿದಸ್ಥಳ,ಪ್ರಕಾಶಕರು,ಸ್ಥಾಪಕ ಸಂಪಾದಕ/ಸಂಪಾದಕ,ಆವರ್ತಕತೆ,ಭಾಷೆ,ಹಾವನೂರು ಶ್ರೀನಿವಾಸ್,ಕೆಪಿಎ
1,ಮಂಗಳೂರು ಸಮಾಚಾರ,1843/1844,ದಕ್ಷಿಣಕನ್ನಡ,ಬೇಸೆಲ್ ಮಿಷನ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್,ಹರ್ಮನ್ ಮೋಗ್ಲಿಂಗ್,,ಕನ್ನಡ,,
2,ಕ್ಯಾನರೀಸ್ ನ್ಯೂಸ್‌ಪೇಪರ್/ಕನ್ನಡ ಸಮಾಚಾರವು,1844,ಬಳ್ಳಾರಿ,ಹರ್ಮನ್ ಮೋಗ್ಲಿಂಗ್,ಹರ್ಮನ್ ಮೋಗ್ಲಿಂಗ್,ಪಾಕ್ಷಿಕ,ಕನ್ನಡ,,
3,ಸೌತ್ ಕೆನರಾ ಗೆಜೆಟ್,1858,ದಕ್ಷಿಣಕನ್ನಡ,,,,ಕನ್ನಡ/ ಇಂಗ್ಲೀಷ್,,
4,ಕನ್ನಡ ‌ಜ್ಞಾನ ಬೋದಕವು,1861,ಬೆಳಗಾವಿ,ಕೆನರಾ  ವರ್ನಾಕ್ಯುಲರ್ ಸೊಸೈಟಿ ,ವೆಂಕಟ ರಂಗೋ  ಕಾಟಿ ,ಮಾಸಿಕ,ಕನ್ನಡ,,
5,ಕನ್ನಡ ಪ್ರಾಥಮಿಕ ಶಿಕ್ಷಣ ,1861,ಧಾರವಾಡ,ಕೆ. ಜಿ. ಕುರ್ತಕೋಟ ,ಕೆ. ಜಿ. ಕುರ್ತಕೋಟ ,ಮಾಸಿಕ sc,ಕನ್ನಡ,"1955, Training college, edi- Hanumantha Rao and Deshpande",
6,ಕರ್ನಾಟಕ ಜ್ಞಾನ ಮಂಜರಿ,1875,ಬೆಳಗಾವಿ,ಬಿಕಾಜಿ ಹರಿ ಸಾವಂತ್ ,ಬಿಕಾಜಿ ಹರಿ ಸಾವಂತ್ ,ಮಾಸಿಕ,ಕನ್ನಡ,1874,1874
7,ಕವಿತ,1887,ಬೆಂಗಳೂರು,ಗೆಳೆಯರ ಪ್ರಕಾಶನ ,ಕೆ. ಎನ್ . ಬಾಲಕೃಷ್ಣ,,ಕನ್ನಡ,,
8,ಚಂದ್ರೋದಯ,1887,ಧಾರವಾಡ,,,ಸಾಪ್ತಾಹಿಕ/ಮಾಸಿಕ,ಕನ್ನಡ,"1876-1902, Ed: Uchaiah vibuti Mata",
9,ಮೈಸೂರು ಸ್ಟಾರ್,1888,ಮೈಸೂರು,ವೈ. ವಿರೂಪಾಕ್ಷಯ್ಯ,ವೈ. ವಿರೂಪಾಕ್ಷಯ್ಯ,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ/ ಇಂಗ್ಲೀಷ್,"1881 -1928,Pub - Mysore Star, Editor - Y Virupakshayya / Veerasangappa",1900
10,ವೃತ್ತಾಂತ ಪತ್ರಿಕೆ,1888,ಮೈಸೂರು,ವೆಸ್ಲೆಯನ್ ಮಿಷನ್,,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,"1881 - 1940, Henry Hega/ H Galiford",
11,ಕರ್ನಾಟಕ ವೈಭವ,1892,ವಿಜಯಪುರ,,ಎಸ್. ಎನ್ ಪಾಟೀಲ್,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,"Pub- Narasimha H Mohare & Venkatesha B Nayaka, Edi- Mannuru Gunderao",
12,ವೃತ್ತಾಂತ ಮಂಜರಿ,1893,ಶಿವಮೊಗ್ಗ,,,ಸಾಪ್ತಾಹಿಕ,ಕನ್ನಡ,"1898, Editor - Byadagi Shashagir Rao",1898
13,ಹಳ್ಳಿಯ ರೈತ,1895,ಬೆಂಗಳೂರು,ಕರ್ನಾಟಕ ಪ್ರಿಂಟರ್ಸ್,ಟಿ. ಎನ್. ತಿಮ್ಮಪ್ಪ,ಮಾಸಿಕ,ಕನ್ನಡ,,
14,ಜ್ಞಾನೋದಯ,1896,ಶಿವಮೊಗ್ಗ,,ಶೇಷಗಿರಿ ರಾವ್ ,ಮಾಸಿಕ,ಕನ್ನಡ,,1895
15,ಸಾದ್ವಿ,1899,ಮೈಸೂರು,ಸಿ. ಮಹೇಶ್ವರನ್  ,ತಾತಯ್ಯ / ಅಗರಂ ರಂಗಯ್ಯ / ಸಿ. ಮಹೇಶ್ವರನ್ ,ದೈನಿಕ,ಕನ್ನಡ,"1889 -91, Pub - Sadhvi /Sampada Abhyudaya, Editor - Venkata Krishnayya & Agaram Rangayya",
16,ಶ್ರೀ ಜೈನ ವಿಜಯ,1905,ಬೆಳಗಾವಿ,ಶ್ರೀ ಅನಂತ ಅಣ್ಣಾರಾವ್ ಚೌಗುಲೆ ,ಶ್ರೀ ಅನಂತ ಅಣ್ಣಾರಾವ್ ಚೌಗುಲೆ ,ಮಾಸಿಕ,ಕನ್ನಡ,"Publisher- Dakshina Maharastra Jaina Sabha, Editor- Annappa Fadappa Chougale",
17,ಪ್ರಗತಿ ಮತ್ತು ಜಿನವಿಜಯ,1905,"
ಶ್ರವಣಬೆಳಗೊಳ",ದಕ್ಷಿಣ ಭಾರತ ಜೈನ ಸಭಾ ,,,ಕನ್ನಡ,,
18,ವಿವೇಕೋದಯ,1905,ಶ್ರೀರಂಗಪಟ್ಟಣ,,,ಮಾಸಿಕ,ಕನ್ನಡ/ ಇಂಗ್ಲೀಷ್,,
